Year,Track,Driver,Team,GridPosition,FinishingPosition,Points,ClassifiedPosition
2022,Abu Dhabi,VER,Red Bull Racing,1,1,25,1
2022,Abu Dhabi,LEC,Ferrari,3,2,18,2
2022,Abu Dhabi,PER,Red Bull Racing,2,3,15,3
2022,Abu Dhabi,SAI,Ferrari,4,4,12,4
2022,Abu Dhabi,RUS,Mercedes,6,5,10,5
2022,Abu Dhabi,NOR,McLaren,7,6,9,6
2022,Abu Dhabi,OCO,Alpine,8,7,6,7
2022,Abu Dhabi,STR,Aston Martin,14,8,4,8
2022,Abu Dhabi,RIC,McLaren,13,9,2,9
2022,Abu Dhabi,VET,Aston Martin,9,10,1,10
2022,Abu Dhabi,TSU,AlphaTauri,11,11,0,11
2022,Abu Dhabi,ZHO,Alfa Romeo,15,12,0,12
2022,Abu Dhabi,ALB,Williams,19,13,0,13
2022,Abu Dhabi,GAS,AlphaTauri,17,14,0,14
2022,Abu Dhabi,BOT,Alfa Romeo,18,15,0,15
2022,Abu Dhabi,MSC,Haas F1 Team,12,16,0,16
2022,Abu Dhabi,MAG,Haas F1 Team,16,17,0,17
2022,Abu Dhabi,HAM,Mercedes,5,18,0,18
2022,Abu Dhabi,LAT,Williams,20,19,0,19
2022,Abu Dhabi,ALO,Alpine,10,20,0,R
2023,Abu Dhabi,VER,Red Bull Racing,1,1,26,1
2023,Abu Dhabi,LEC,Ferrari,2,2,18,2
2023,Abu Dhabi,RUS,Mercedes,4,3,15,3
2023,Abu Dhabi,PER,Red Bull Racing,9,4,12,4
2023,Abu Dhabi,NOR,McLaren,5,5,10,5
2023,Abu Dhabi,PIA,McLaren,3,6,8,6
2023,Abu Dhabi,ALO,Aston Martin,7,7,6,7
2023,Abu Dhabi,TSU,AlphaTauri,6,8,4,8
2023,Abu Dhabi,HAM,Mercedes,11,9,2,9
2023,Abu Dhabi,STR,Aston Martin,13,10,1,10
2023,Abu Dhabi,RIC,AlphaTauri,15,11,0,11
2023,Abu Dhabi,OCO,Alpine,12,12,0,12
2023,Abu Dhabi,GAS,Alpine,10,13,0,13
2023,Abu Dhabi,ALB,Williams,14,14,0,14
2023,Abu Dhabi,HUL,Haas F1 Team,8,15,0,15
2023,Abu Dhabi,SAR,Williams,20,16,0,16
2023,Abu Dhabi,ZHO,Alfa Romeo,19,17,0,17
2023,Abu Dhabi,SAI,Ferrari,16,18,0,18
2023,Abu Dhabi,BOT,Alfa Romeo,18,19,0,19
2023,Abu Dhabi,MAG,Haas F1 Team,17,20,0,20
2024,Abu Dhabi,NOR,McLaren,1,1,25,1
2024,Abu Dhabi,SAI,Ferrari,3,2,18,2
2024,Abu Dhabi,LEC,Ferrari,19,3,15,3
2024,Abu Dhabi,HAM,Mercedes,16,4,12,4
2024,Abu Dhabi,RUS,Mercedes,6,5,10,5
2024,Abu Dhabi,VER,Red Bull Racing,4,6,8,6
2024,Abu Dhabi,GAS,Alpine,5,7,6,7
2024,Abu Dhabi,HUL,Haas F1 Team,7,8,4,8
2024,Abu Dhabi,ALO,Aston Martin,8,9,2,9
2024,Abu Dhabi,PIA,McLaren,2,10,1,10
2024,Abu Dhabi,ALB,Williams,18,11,0,11
2024,Abu Dhabi,TSU,RB,11,12,0,12
2024,Abu Dhabi,ZHO,Kick Sauber,15,13,0,13
2024,Abu Dhabi,STR,Aston Martin,13,14,0,14
2024,Abu Dhabi,DOO,Alpine,17,15,0,15
2024,Abu Dhabi,MAG,Haas F1 Team,14,16,0,16
2024,Abu Dhabi,LAW,RB,12,17,0,17
2024,Abu Dhabi,BOT,Kick Sauber,9,18,0,R
2024,Abu Dhabi,COL,Williams,20,19,0,R
2024,Abu Dhabi,PER,Red Bull Racing,10,20,0,R
2025,Abu Dhabi,VER,Red Bull Racing,1,1,25,1
2025,Abu Dhabi,PIA,McLaren,3,2,18,2
2025,Abu Dhabi,NOR,McLaren,2,3,15,3
2025,Abu Dhabi,LEC,Ferrari,5,4,12,4
2025,Abu Dhabi,RUS,Mercedes,4,5,10,5
2025,Abu Dhabi,ALO,Aston Martin,6,6,8,6
2025,Abu Dhabi,OCO,Haas F1 Team,8,7,6,7
2025,Abu Dhabi,HAM,Ferrari,16,8,4,8
2025,Abu Dhabi,HUL,Kick Sauber,18,9,2,9
2025,Abu Dhabi,STR,Aston Martin,15,10,1,10
2025,Abu Dhabi,BOR,Kick Sauber,7,11,0,11
2025,Abu Dhabi,BEA,Haas F1 Team,11,12,0,12
2025,Abu Dhabi,SAI,Williams,12,13,0,13
2025,Abu Dhabi,TSU,Red Bull Racing,10,14,0,14
2025,Abu Dhabi,ANT,Mercedes,14,15,0,15
2025,Abu Dhabi,ALB,Williams,17,16,0,16
2025,Abu Dhabi,HAD,Racing Bulls,9,17,0,17
2025,Abu Dhabi,LAW,Racing Bulls,13,18,0,18
2025,Abu Dhabi,GAS,Alpine,19,19,0,19
2025,Abu Dhabi,COL,Alpine,20,20,0,20
2022,Austria,LEC,Ferrari,2,1,25,1
2022,Austria,VER,Red Bull Racing,1,2,19,2
2022,Austria,HAM,Mercedes,8,3,15,3
2022,Austria,RUS,Mercedes,4,4,12,4
2022,Austria,OCO,Alpine,6,5,10,5
2022,Austria,MSC,Haas F1 Team,9,6,8,6
2022,Austria,NOR,McLaren,10,7,6,7
2022,Austria,MAG,Haas F1 Team,7,8,4,8
2022,Austria,RIC,McLaren,11,9,2,9
2022,Austria,ALO,Alpine,19,10,1,10
2022,Austria,BOT,Alfa Romeo,0,11,0,11
2022,Austria,ALB,Williams,15,12,0,12
2022,Austria,STR,Aston Martin,12,13,0,13
2022,Austria,ZHO,Alfa Romeo,13,14,0,14
2022,Austria,GAS,AlphaTauri,14,15,0,15
2022,Austria,TSU,AlphaTauri,16,16,0,16
2022,Austria,VET,Aston Martin,18,17,0,17
2022,Austria,SAI,Ferrari,3,18,0,R
2022,Austria,LAT,Williams,17,19,0,R
2022,Austria,PER,Red Bull Racing,5,20,0,R
2023,Austria,VER,Red Bull Racing,1,1,26,1
2023,Austria,LEC,Ferrari,2,2,18,2
2023,Austria,PER,Red Bull Racing,15,3,15,3
2023,Austria,NOR,McLaren,4,4,12,4
2023,Austria,ALO,Aston Martin,7,5,10,5
2023,Austria,SAI,Ferrari,3,6,8,6
2023,Austria,RUS,Mercedes,11,7,6,7
2023,Austria,HAM,Mercedes,5,8,4,8
2023,Austria,STR,Aston Martin,6,9,2,9
2023,Austria,GAS,Alpine,9,10,1,10
2023,Austria,ALB,Williams,10,11,0,11
2023,Austria,ZHO,Alfa Romeo,17,12,0,12
2023,Austria,SAR,Williams,18,13,0,13
2023,Austria,OCO,Alpine,12,14,0,14
2023,Austria,BOT,Alfa Romeo,14,15,0,15
2023,Austria,PIA,McLaren,13,16,0,16
2023,Austria,DEV,AlphaTauri,20,17,0,17
2023,Austria,MAG,Haas F1 Team,19,18,0,18
2023,Austria,TSU,AlphaTauri,16,19,0,19
2023,Austria,HUL,Haas F1 Team,8,20,0,R
2024,Austria,RUS,Mercedes,3,1,25,1
2024,Austria,PIA,McLaren,7,2,18,2
2024,Austria,SAI,Ferrari,4,3,15,3
2024,Austria,HAM,Mercedes,5,4,12,4
2024,Austria,VER,Red Bull Racing,1,5,10,5
2024,Austria,HUL,Haas F1 Team,9,6,8,6
2024,Austria,PER,Red Bull Racing,8,7,6,7
2024,Austria,MAG,Haas F1 Team,12,8,4,8
2024,Austria,RIC,RB,11,9,2,9
2024,Austria,GAS,Alpine,13,10,1,10
2024,Austria,LEC,Ferrari,6,11,0,11
2024,Austria,OCO,Alpine,10,12,0,12
2024,Austria,STR,Aston Martin,17,13,0,13
2024,Austria,TSU,RB,14,14,0,14
2024,Austria,ALB,Williams,16,15,0,15
2024,Austria,BOT,Kick Sauber,18,16,0,16
2024,Austria,ZHO,Kick Sauber,20,17,0,17
2024,Austria,ALO,Aston Martin,15,18,0,18
2024,Austria,SAR,Williams,19,19,0,19
2024,Austria,NOR,McLaren,2,20,0,20
2025,Austria,NOR,McLaren,1,1,25,1
2025,Austria,PIA,McLaren,3,2,18,2
2025,Austria,LEC,Ferrari,2,3,15,3
2025,Austria,HAM,Ferrari,4,4,12,4
2025,Austria,RUS,Mercedes,5,5,10,5
2025,Austria,LAW,Racing Bulls,6,6,8,6
2025,Austria,ALO,Aston Martin,11,7,6,7
2025,Austria,BOR,Kick Sauber,8,8,4,8
2025,Austria,HUL,Kick Sauber,20,9,2,9
2025,Austria,OCO,Haas F1 Team,17,10,1,10
2025,Austria,BEA,Haas F1 Team,15,11,0,11
2025,Austria,HAD,Racing Bulls,13,12,0,12
2025,Austria,GAS,Alpine,10,13,0,13
2025,Austria,STR,Aston Martin,16,14,0,14
2025,Austria,COL,Alpine,14,15,0,15
2025,Austria,TSU,Red Bull Racing,18,16,0,16
2025,Austria,ALB,Williams,12,17,0,R
