driver,team,fp1_best_lap,fp2_best_lap,fp3_best_lap,avg_best_lap,fp1_long_run,fp2_long_run,fp3_long_run,avg_long_run,fp1_deg,fp2_deg,fp3_deg,avg_deg,fp2_minus_fp1,fp3_minus_fp2,fp3_minus_fp1,fp1_gap,fp2_gap,fp3_gap,target_quali_time,year,Driver,driver_track_rating,Team,team_quali_strength,team_race_strength,team_combined_strength
ALB,Williams,76.11,74.486,73.882,74.82600000000001,76.468,75.834,74.776,75.69266666666668,-0.519,15.749,2.335,5.855,-1.6239999999999952,-0.6039999999999992,-2.2279999999999944,1.5400009,1.8300018,1.4060059,73.611,2022,ALB,49.58,Williams,20.0,0.0,12.0
ALO,Alpine,77.373,73.912,73.585,74.95666666666666,78.322,75.523,74.264,76.03633333333333,0.804,1.491,-0.043,0.7506666666666666,-3.4609999999999985,-0.3270000000000124,-3.788000000000011,2.8030014,1.2560043,1.1090012,72.247,2022,ALO,30.26,Alpine,60.0,40.0,52.0
GAS,AlphaTauri,75.083,73.702,73.21,73.99833333333333,75.558,76.371,73.942,75.29033333333332,1.417,0.177,0.866,0.82,-1.3810000000000002,-0.49200000000000443,-1.8730000000000047,0.5130005,1.0460052,0.73400116,73.66,2022,GAS,19.91,,58.0,55.07692307692308,56.83076923076923
HAM,Mercedes,75.499,74.267,73.375,74.38033333333333,77.383,77.746,80.767,78.63199999999999,2.23,1.872,2.889,2.3303333333333334,-1.2319999999999993,-0.8919999999999959,-2.1239999999999952,0.92900085,1.6110001,0.8990021,72.595,2022,HAM,61.42,Mercedes,100.0,100.0,100.0
LAT,Williams,77.714,76.276,74.91,76.3,78.75,77.496,75.915,77.387,0.184,-1.167,-0.259,-0.414,-1.4380000000000024,-1.3659999999999997,-2.804000000000002,3.1439972,3.6200027,2.4340057,74.403,2022,,51.33466666666667,Williams,20.0,0.0,12.0
LEC,Ferrari,75.714,72.656,72.517,73.629,77.595,74.427,72.628,74.88333333333333,0.201,-0.591,3.783,1.131,-3.0579999999999927,-0.13900000000001,-3.1970000000000027,1.1439972,0.0,0.041000366,71.376,2022,LEC,91.92,Ferrari,80.0,70.0,76.0
MAG,Haas F1 Team,75.806,74.239,73.436,74.49366666666667,77.016,76.161,81.312,78.16300000000001,0.415,0.259,0.039,0.23766666666666666,-1.566999999999993,-0.8029999999999973,-2.3699999999999903,1.2360001,1.5830002,0.9599991,72.921,2022,,51.33466666666667,Haas F1 Team,40.0,80.0,56.0
MSC,Haas F1 Team,78.636,74.894,73.827,75.78566666666667,80.668,76.83,74.192,77.23,0.804,0.981,-0.063,0.5740000000000001,-3.7419999999999902,-1.0670000000000073,-4.8089999999999975,4.066002,2.237999,1.3510056,73.081,2022,,51.33466666666667,Haas F1 Team,40.0,80.0,56.0
NOR,McLaren,75.056,73.294,73.226,73.85866666666666,76.034,76.043,75.755,75.944,6.424,-0.366,1.698,2.5853333333333333,-1.7620000000000005,-0.06799999999999784,-1.8299999999999983,0.48600006,0.6380005,0.75,71.849,2022,NOR,92.12,McLaren,90.0,60.0,78.0
OCO,Alpine,76.315,75.216,74.26,75.26366666666667,79.058,76.64,79.135,78.27766666666668,0.253,0.401,2.988,1.214,-1.0990000000000038,-0.9559999999999889,-2.0549999999999926,1.7450027,2.5600052,1.7840042,72.528,2022,OCO,62.47,Alpine,60.0,40.0,52.0
PER,Red Bull Racing,74.57,73.324,72.476,73.45666666666666,76.731,78.747,75.11,76.86266666666667,0.946,1.752,2.386,1.6946666666666665,-1.2459999999999951,-0.847999999999999,-2.093999999999994,0.0,0.66799927,0.0,71.954,2022,,51.33466666666667,Red Bull Racing,70.0,90.0,78.0
RUS,Mercedes,75.211,73.406,73.733,74.11666666666667,76.301,74.597,75.633,75.51033333333334,0.047,-0.734,0.163,-0.17466666666666664,-1.8049999999999926,0.3269999999999982,-1.4779999999999944,0.64099884,0.75,1.2570038,72.112,2022,RUS,52.19,Mercedes,100.0,100.0,100.0
SAI,Ferrari,75.03,72.7,72.846,73.52533333333334,78.713,74.729,76.557,76.66633333333334,6.562,13.021,-5.426,4.719,-2.3299999999999983,0.1460000000000008,-2.1839999999999975,0.45999908,0.04399872,0.37000275,71.601,2022,SAI,51.01,Ferrari,80.0,70.0,76.0
STR,Aston Martin,75.539,74.623,74.639,74.93366666666667,77.711,76.441,75.915,76.68900000000001,5.754,-0.453,-1.441,1.2866666666666664,-0.9159999999999968,0.015999999999991132,-0.9000000000000057,0.96900177,1.9670029,2.163002,73.678,2022,STR,28.79,Aston Martin,10.0,10.0,10.0
TSU,AlphaTauri,75.536,74.134,73.645,74.43833333333333,76.329,80.715,78.04,78.36133333333333,9.256,8.472,6.461,8.063,-1.402000000000001,-0.4890000000000043,-1.8910000000000053,0.9660034,1.4780045,1.1689987,72.797,2022,TSU,30.15,,58.0,55.07692307692308,56.83076923076923
VER,Red Bull Racing,74.712,73.103,72.881,73.56533333333333,78.785,74.898,72.809,75.49733333333333,6.458,5.045,1.206,4.2363333333333335,-1.6090000000000089,-0.2219999999999942,-1.831000000000003,0.14199829,0.4469986,0.40499878,71.903,2022,VER,79.84,Red Bull Racing,70.0,90.0,78.0
VET,Aston Martin,75.387,74.059,73.838,74.428,76.578,76.821,74.485,75.96133333333334,0.588,9.214,-0.748,3.0180000000000002,-1.328000000000003,-0.22100000000000364,-1.5490000000000066,0.81700134,1.4029999,1.3619995,72.613,2022,,51.33466666666667,Aston Martin,10.0,10.0,10.0
ZHO,Alfa Romeo,76.417,74.525,74.861,75.26766666666667,77.784,76.258,75.237,76.42633333333333,-0.255,1.145,-0.022,0.28933333333333333,-1.891999999999996,0.3359999999999985,-1.5559999999999974,1.8470001,1.8690033,2.3850021,75.606,2022,,51.33466666666667,,58.0,55.07692307692308,56.83076923076923
ALB,Williams,74.666,74.515,73.93,74.37033333333333,75.077,74.641,79.709,76.47566666666667,0.369,2.787,1.544,1.5666666666666664,-0.15099999999999625,-0.5849999999999937,-0.73599999999999,1.2939987,2.0530014,1.1539993,72.527,2023,ALB,49.58,Williams,20.0,0.0,12.0
ALO,Aston Martin,73.71,72.682,73.697,73.363,77.522,74.059,74.398,75.32633333333334,4.637,-0.01,0.127,1.5846666666666664,-1.0279999999999916,1.0150000000000006,-0.012999999999991019,0.33799744,0.22000122,0.9209976,71.449,2023,ALO,30.26,Aston Martin,10.0,10.0,10.0
BOT,Alfa Romeo,74.718,73.05,73.521,73.76299999999999,77.716,74.646,74.326,75.56266666666666,8.533,5.982,-0.29,4.741666666666667,-1.6680000000000064,0.47100000000000364,-1.1970000000000027,1.3460007,0.58800507,0.74500275,72.625,2023,,51.33466666666667,,58.0,55.07692307692308,56.83076923076923
DEV,AlphaTauri,75.083,73.663,74.187,74.31099999999999,75.697,74.12,79.502,76.43966666666667,0.81,0.068,-3.84,-0.9873333333333333,-1.4200000000000017,0.5240000000000009,-0.8960000000000008,1.7109985,1.201004,1.4109955,72.428,2023,,51.33466666666667,,58.0,55.07692307692308,56.83076923076923
GAS,Alpine,74.866,73.089,73.453,73.80266666666667,74.684,74.554,74.495,74.57766666666667,-0.441,-0.525,5.527,1.5203333333333333,-1.777000000000001,0.3640000000000043,-1.4129999999999967,1.4939957,0.6269989,0.67700195,71.933,2023,GAS,19.91,Alpine,60.0,40.0,52.0
HAM,Mercedes,74.035,72.96,73.486,73.49366666666667,75.959,74.742,85.487,78.72933333333334,2.917,0.321,1.408,1.5486666666666666,-1.0750000000000028,0.5260000000000105,-0.5489999999999924,0.663002,0.4980011,0.7099991,71.725,2023,HAM,61.42,Mercedes,100.0,100.0,100.0
HUL,Haas F1 Team,75.785,73.52,73.65,74.31833333333334,77.774,74.794,74.479,75.68233333333332,-0.075,0.882,-0.333,0.158,-2.2650000000000006,0.13000000000000966,-2.134999999999991,2.413002,1.0579987,0.87400055,73.279,2023,HUL,21.75,Haas F1 Team,40.0,80.0,56.0
LEC,Ferrari,74.093,72.527,73.475,73.365,76.304,73.046,81.746,77.032,-0.673,-4.058,-0.701,-1.8106666666666664,-1.5660000000000025,0.9479999999999933,-0.6180000000000092,0.7210007,0.06500244,0.6989975,71.471,2023,LEC,91.92,Ferrari,80.0,70.0,76.0
MAG,Haas F1 Team,74.725,73.457,73.624,73.93533333333333,75.696,74.725,75.305,75.242,1.821,-0.758,13.596,4.886333333333334,-1.2680000000000007,0.1670000000000016,-1.100999999999999,1.3529968,0.99500275,0.8479996,73.27,2023,,51.33466666666667,Haas F1 Team,40.0,80.0,56.0
NOR,McLaren,74.467,72.906,73.396,73.58966666666667,75.796,73.808,74.891,74.83166666666666,0.757,0.814,-4.067,-0.8320000000000002,-1.5609999999999928,0.4899999999999949,-1.070999999999998,1.0950012,0.44400024,0.62000275,72.254,2023,NOR,92.12,McLaren,90.0,60.0,78.0
OCO,Alpine,74.585,73.162,73.496,73.74766666666666,75.289,74.022,73.871,74.394,0.725,0.667,21.654,7.6819999999999995,-1.4229999999999876,0.333999999999989,-1.0889999999999986,1.2129974,0.7000046,0.7200012,71.553,2023,OCO,62.47,Alpine,60.0,40.0,52.0
PER,Red Bull Racing,74.038,72.991,72.849,73.29266666666666,75.198,74.494,91.372,80.35466666666667,-2.313,0.843,-1.182,-0.884,-1.046999999999997,-0.1419999999999959,-1.188999999999993,0.66600037,0.5289993,0.07299805,73.85,2023,,51.33466666666667,Red Bull Racing,70.0,90.0,78.0
